id,library_index,status,family,preinsert_task_rank,seated_task_rank,preinsert_compatible,seated_compatible,required_aperture_m,quality,seated_pcb_clearance_m,preinsert_pcb_clearance_m,collision_free_insertion_travel_m,remaining_to_seat_at_collision_m,limiting_gripper_component,T_P_E_00,T_P_E_01,T_P_E_02,T_P_E_03,T_P_E_10,T_P_E_11,T_P_E_12,T_P_E_13,T_P_E_20,T_P_E_21,T_P_E_22,T_P_E_23,T_P_E_30,T_P_E_31,T_P_E_32,T_P_E_33
g_1f0a6dfc6fc71cec,1029,phase1_preinsert_only_candidate,close_z_approach_-x,1334,,True,False,0.002539999962,0.740850189227,-0.033746851291,0.006253148709,0.005753148709,0.034246851291,body,-0.001572278739,0.0,-0.999998763969,0.024233452029,-0.999998763969,0.0,0.001572278739,0.007372410454,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_f55107d74b73f886,1030,phase1_preinsert_only_candidate,close_z_approach_+x,170,,True,False,0.002539999962,0.74084504092,-0.009085046396,0.030914953604,0.030414953604,0.009585046396,left_upper_finger,0.260337429835,0.0,0.965517696693,0.013848946307,0.965517696693,0.0,-0.260337429835,0.00703451909,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_387287344b1ddf32,1031,rejected_preinsert_pcb_collision,close_z_approach_+x,,,False,False,0.002539999962,0.740787995237,-0.093071623728,-0.053071623728,0.0,0.04,body,-0.257300020554,0.0,0.966331568057,0.01280204471,0.966331568057,0.0,0.257300020554,0.007111923362,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_69a8bf33c884ef96,1032,phase1_preinsert_only_candidate,close_z_approach_-x,1149,,True,False,0.002539999962,0.740745557784,-0.031749562395,0.008250437605,0.007750437605,0.032249562395,body,-0.001572278739,0.0,-0.999998763969,0.024066391638,-0.999998763969,0.0,0.001572278739,0.00936969935,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_a02e0ac59210f8ba,1033,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.740710136852,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.027825406175,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.006428690686,0.0,0.0,0.0,1.0
g_f3038f8fd882f7db,1034,phase1_preinsert_only_candidate,close_z_approach_+x,1283,,True,False,0.002539999962,0.740664017464,-0.033264436244,0.006735563756,0.006235563756,0.033764436244,body,0.001572278739,0.0,0.999998763969,0.012088233874,0.999998763969,0.0,-0.001572278739,0.00716516661,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_e731d5e601932c2f,1035,phase1_preinsert_only_candidate,close_z_approach_+x,1183,,True,False,0.002539999962,0.740612885779,-0.032114463451,0.007885536549,0.007385536549,0.032614463451,body,0.001572278739,0.0,0.999998763969,0.012173216265,0.999998763969,0.0,-0.001572278739,0.008315139403,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_8995c4386c8b7c86,1036,phase1_preinsert_only_candidate,close_z_approach_-x,1353,,True,False,0.002539999962,0.740585577057,-0.03388623865,0.00611376135,0.00561376135,0.03438623865,body,-0.001572278739,0.0,-0.999998763969,0.017407643004,-0.999998763969,0.0,0.001572278739,0.007233023095,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_65b4ebb959b76baf,1037,rejected_preinsert_pcb_collision,close_z_approach_+x,,,False,False,0.002539999962,0.740448180944,-0.09175370218,-0.05175370218,0.0,0.04,body,-0.257300020554,0.0,0.966331568057,0.011332549676,0.966331568057,0.0,0.257300020554,0.00842984491,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_4a7e8f0842c3e643,1038,rejected_preinsert_pcb_collision,close_z_approach_-x,,,False,False,0.002539999962,0.740382863989,-0.092507629975,-0.052507629975,0.0,0.04,body,-0.260337429835,0.0,-0.965517696693,0.024480519329,-0.965517696693,0.0,0.260337429835,0.008361933359,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_aac433c839c2b7e4,1039,phase1_preinsert_only_candidate,close_z_approach_+x,1228,,True,False,0.002539999962,0.740358894926,-0.032719329102,0.007280670898,0.006780670898,0.033219329102,body,0.001572278739,0.0,0.999998763969,0.008461514763,0.999998763969,0.0,-0.001572278739,0.007710273753,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_6a728a49bc872fec,1040,rejected_preinsert_pcb_collision,close_z_approach_+x,,,False,False,0.002539999962,0.740339310872,-0.092065546796,-0.052065546796,0.0,0.04,body,-0.257300020554,0.0,0.966331568057,0.013241951683,0.966331568057,0.0,0.257300020554,0.008118000294,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_657e8fcdd1323008,1041,rejected_preinsert_pcb_collision,close_z_approach_+x,,,False,False,0.002539999962,0.740326729929,-0.09279501366,-0.05279501366,0.0,0.04,body,-0.257300020554,0.0,0.966331568057,0.015138446427,0.966331568057,0.0,0.257300020554,0.007388533429,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_3a3398ebc210c619,1042,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.740123606808,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.503281408452,0.0,-0.864122574585,0.029162292325,0.0,1.0,0.0,0.007062596679,0.864122574585,0.0,-0.503281408452,0.006437361579,0.0,0.0,0.0,1.0
g_ee949ba05c2404ca,1043,rejected_preinsert_pcb_collision,close_z_approach_-x,,,False,False,0.002539999962,0.740092395991,-0.093430964132,-0.053430964132,0.0,0.04,body,-0.260337429835,0.0,-0.965517696693,0.027519108217,-0.965517696693,0.0,0.260337429835,0.007438599201,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_9931dc4fc574ab66,1044,phase1_preinsert_only_candidate,close_z_approach_-x,1376,,True,False,0.002539999962,0.740029167953,-0.034021273237,0.005978726763,0.005478726763,0.034521273237,body,-0.001572278739,0.0,-0.999998763969,0.022897490972,-0.999998763969,0.0,0.001572278739,0.007097988509,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_ae9df8436f63f2d8,1045,phase1_preinsert_only_candidate,close_z_approach_+x,1193,,True,False,0.002539999962,0.739955686565,-0.03231160256,0.00768839744,0.00718839744,0.03281160256,body,0.001572278739,0.0,0.999998763969,0.013241951683,0.999998763969,0.0,-0.001572278739,0.008118000294,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_db714cc0156fc409,1046,rejected_preinsert_pcb_collision,close_z_approach_-x,,,False,False,0.002539999962,0.739819537809,-0.093522353327,-0.053522353327,0.0,0.04,body,-0.260337429835,0.0,-0.965517696693,0.023331976326,-0.965517696693,0.0,0.260337429835,0.007347210006,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_e90f9e57664c18ab,1047,phase1_preinsert_only_candidate,close_z_approach_+x,1167,,True,False,0.002539999962,0.739716942664,-0.031980262966,0.008019737034,0.007519737034,0.032480262966,body,0.001572278739,0.0,0.999998763969,0.023410815465,0.999998763969,0.0,-0.001572278739,0.008449339888,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
